10,0,70,70,4
1,0,80,60,4
10,0,70,55,0
10,0,60,60,4
10,0,60,60,3
10,0,60,60,3
10,0,60,60,3
1,0,65,65,2
1,0,65,65,2
1,0,65,65,2
1,0,65,65,2
1,0,65,65,2
1,0,65,65,4
1,0,65,65,2
1,0,15,55,4
1,0,65,65,3
1,0,65,65,3
5,0,5,45,4
5,0,65,65,3
5,0,65,65,3
5,0,65,65,3
1,0,90,55,4
1,0,90,55,4
4,0,45,55,4
4,0,40,55,0
4,0,40,55,0
4,0,40,55,0
10,0,25,45,0
10,0,25,45,3
1,0,50,45,0
1,0,70,55,4
1,0,55,55,2
1,0,80,70,4
1,0,10,70,4
1,0,75,70,3
1,0,75,70,2
1,0,75,70,2
1,0,75,70,0
1,0,85,70,4
1,0,60,70,0
1,0,55,55,0
1,0,55,55,0
1,0,55,55,0
10,0,65,55,0
1,0,70,50,4
1,0,100,70,4
2,0,85,70,2
2,0,85,70,2
2,0,85,70,2
2,0,85,70,4
2,0,85,70,2
1,0,70,70,0
10,0,75,55,4
1,0,55,55,0
10,0,40,45,1
10,0,40,45,4
10,0,10,45,1
1,0,70,45,4
1,0,50,45,0
1,0,50,45,4
10,0,60,50,4
10,0,60,50,3
10,0,85,70,0
10,0,70,70,4
1,0,70,70,3
1,0,70,70,4
1,0,70,70,2
1,0,70,70,4
1,0,70,70,2
2,0,78,70,4
1,0,70,70,4
1,0,70,70,2
1,0,70,70,4
2,0,15,45,4
2,0,45,45,3
1,0,15,45,0
1,0,54,45,4
1,0,55,50,0
1,0,65,55,4
1,0,55,55,0
1,0,40,45,0
2,0,50,70,2
2,0,40,70,1
1,0,55,55,4
2,0,55,55,4
2,0,55,55,3
1,0,46,45,3
2,0,55,55,4
2,0,55,55,0
2,0,65,65,0
2,0,65,65,0
2,0,65,65,4
2,0,65,65,2
10,0,30,55,2
10,0,75,55,2
10,0,75,55,4
1,0,45,55,2
1,0,45,55,2
1,0,60,65,4
1,0,50,55,0
1,0,50,55,2
1,0,15,55,4
1,0,45,65,4
1,0,45,65,4
1,0,90,70,2
1,0,55,70,2
1,0,55,70,3
1,0,55,70,4
1,0,55,70,0
1,0,55,70,0
1,0,65,55,4
1,0,55,55,2
